,Lat,Lng,total_bedrooms,households,median_house_value,ocean_proximity,housing_median_age,Zipcode,City,Population,Income,Labels,counts
7795,33.9,-118.07,546.0,518.0,164100.0,1,39.0,90650,Norwalk,78458,40.83318386,3,0
18169,37.36,-122.02,677.0,689.0,243800.0,1,21.0,94086,Sunnyvale,37637,104.1071335,3,0
14757,32.55,-117.04,648.0,648.0,93200.0,2,15.0,92173,San Ysidro,37591,28.43310778,3,0
17718,37.33,-121.77,474.0,456.0,355300.0,1,8.0,95148,San Jose,37541,74.75318054,3,0
6341,33.97,-117.9,1255.0,1124.0,213200.0,1,23.0,91748,Rowland Heights,37487,53.04375904,3,0
634,37.71,-122.16,242.0,253.0,191000.0,3,37.0,94577,San Leandro,37421,60.74466061,3,0
10844,33.67,-117.9,393.0,392.0,266100.0,1,26.0,92626,Costa Mesa,37365,74.31895178,3,0
3816,34.19,-118.49,571.0,553.0,202000.0,1,23.0,91406,Van Nuys,37193,46.08780904,3,0
11958,33.9,-117.4,178.0,180.0,314100.0,0,32.0,92504,Riverside,37665,46.85241535,3,0
3570,34.22,-118.59,1464.0,1347.0,229000.0,1,17.0,91304,Canoga Park,37168,58.84476021,3,0
11680,33.84,-118.0,325.0,299.0,195100.0,1,30.0,90620,Buena Park,36788,52.79786345,3,0
5103,33.95,-118.3,326.0,314.0,120000.0,1,50.0,90047,Los Angeles,36265,35.27271172,3,0
14133,32.75,-117.07,549.0,524.0,154200.0,2,37.0,92115,San Diego,36221,46.51033058,3,0
7377,33.97,-118.24,467.0,443.0,118500.0,1,38.0,90001,Los Angeles,36200,25.35870291,3,0
17990,37.28,-121.95,148.0,144.0,262500.0,1,52.0,95008,Campbell,36168,99.30408696,3,0
19494,37.67,-121.01,459.0,445.0,108100.0,0,37.0,95350,Modesto,36016,46.66106111,3,0
5570,33.89,-118.29,614.0,601.0,200600.0,1,35.0,90247,Gardena,35920,38.86026966,3,0
13263,34.1,-117.66,345.0,358.0,145300.0,0,37.0,91786,Upland,36960,47.65570676,3,0
16064,37.74,-122.48,508.0,453.0,311800.0,2,52.0,94116,San Francisco,37668,86.97301518,3,0
4964,34.0,-118.28,463.0,458.0,114100.0,1,46.0,90037,Los Angeles,37811,23.70161565,3,0
5623,33.77,-118.26,253.0,219.0,164200.0,2,36.0,90744,Wilmington,37822,33.77406032,3,0
6460,34.1,-118.05,318.0,294.0,272600.0,0,36.0,91780,Temple City,29368,56.81801357,3,0
14609,32.81,-117.19,833.0,839.0,207000.0,2,33.0,92117,San Diego,40891,61.07631179,3,0
15223,33.05,-117.25,476.0,442.0,213400.0,2,16.0,92024,Encinitas,40737,119.6303926,3,0
5651,33.73,-118.29,519.0,486.0,225000.0,2,43.0,90731,San Pedro,40560,50.27735776,3,0
10348,33.6,-117.66,232.0,230.0,279600.0,1,24.0,92691,Mission Viejo,40492,74.74505541,3,0
11290,33.78,-117.93,359.0,370.0,231300.0,1,36.0,92840,Garden Grove,40332,41.17590966,3,0
1007,37.68,-121.75,299.0,263.0,183400.0,0,35.0,94550,Livermore,40153,108.5521624,3,0
3695,34.2,-118.39,1028.0,973.0,177200.0,1,17.0,91605,North Hollywood,39700,34.01289649,3,0
20212,34.28,-119.22,332.0,331.0,299700.0,2,24.0,93003,Ventura,39626,68.74130708,3,0
10162,33.88,-117.96,461.0,466.0,341300.0,1,25.0,92833,Fullerton,39597,61.03045798,3,0
17629,37.25,-121.92,656.0,639.0,258500.0,1,36.0,95124,San Jose,39234,113.6473897,3,0
15644,37.79,-122.42,1021.0,994.0,225000.0,3,52.0,94109,San Francisco,38763,112.05756740000001,3,0
7846,33.89,-118.16,113.0,108.0,143800.0,1,38.0,90723,Paramount,38558,32.49633188,3,0
13302,34.07,-117.62,811.0,734.0,127000.0,0,15.0,91764,Ontario,38261,35.36351531,3,0
16593,37.73,-121.42,393.0,271.0,196700.0,0,2.0,95376,Tracy,38068,51.41958855,3,0
20359,34.17,-118.95,312.0,321.0,344900.0,1,9.0,91320,Newbury Park,37943,103.0215348,3,0
7104,33.9,-118.0,309.0,338.0,209800.0,1,35.0,90638,La Mirada,37827,62.17856142,3,0
10907,33.75,-117.85,632.0,609.0,171400.0,1,27.0,92701,Santa Ana,35900,30.73665516,3,0
17603,37.29,-121.88,396.0,383.0,274100.0,1,44.0,95125,San Jose,41048,127.8421788,3,0
7179,34.04,-118.18,630.0,669.0,129000.0,1,36.0,90063,Los Angeles,35693,28.64349315,3,0
596,37.7,-122.08,447.0,410.0,259300.0,3,32.0,94546,Castro Valley,35351,71.88863845,3,0
4846,34.02,-118.31,284.0,295.0,111400.0,1,52.0,90018,Los Angeles,33029,31.26597549,3,0
15940,37.72,-122.41,434.0,410.0,242900.0,3,35.0,94134,San Francisco,32983,48.12512893,3,0
11776,38.76,-121.28,631.0,578.0,101900.0,0,47.0,95678,Roseville,32889,60.32807731,3,0
14410,32.79,-117.23,665.0,622.0,238000.0,2,23.0,92109,San Diego,32741,72.62303502,3,0
12037,33.93,-117.49,576.0,558.0,124600.0,0,26.0,92505,Riverside,32679,41.68192585,3,0
4475,34.08,-118.17,181.0,179.0,158500.0,1,39.0,90032,Los Angeles,32538,36.63885714,3,0
14287,32.73,-117.12,424.0,356.0,168800.0,2,50.0,92104,San Diego,32533,50.81927512,3,0
8140,33.82,-118.11,390.0,379.0,221900.0,1,36.0,90808,Long Beach,33131,85.67497404,3,0
7717,33.94,-118.13,138.0,139.0,265000.0,1,34.0,90241,Downey,32425,48.01218656,3,0
5032,33.98,-118.33,1199.0,1046.0,113900.0,1,28.0,90043,Los Angeles,32064,43.47939336,3,0
8191,33.79,-118.12,301.0,311.0,232400.0,1,43.0,90815,Long Beach,31234,83.01699521,3,0
7731,33.92,-118.14,853.0,801.0,218200.0,1,31.0,90242,Downey,31123,43.56612466,3,0
6539,34.04,-118.04,363.0,344.0,160600.0,1,35.0,91733,South El Monte,31052,29.72502831,3,0
7063,33.94,-118.03,302.0,271.0,179800.0,1,37.0,90605,Whittier,30900,51.92137277,3,0
17734,37.3,-121.8,149.0,148.0,235600.0,1,16.0,95121,San Jose,30427,60.13102477,3,0
6820,34.08,-118.09,384.0,336.0,235600.0,1,34.0,91776,San Gabriel,30178,37.85455537,3,0
3739,34.18,-118.39,389.0,414.0,240200.0,1,42.0,91606,North Hollywood,32275,36.13503797,3,0
5581,33.83,-118.31,802.0,727.0,223400.0,1,27.0,90501,Torrance,33170,57.20621212,3,0
13379,34.14,-117.61,2485.0,2410.0,245600.0,0,14.0,91701,Rancho Cucamonga,33269,67.84537137,3,0
11331,33.75,-117.94,1093.0,1050.0,186700.0,1,30.0,92843,Garden Grove,33276,35.05087719,3,0
18414,37.27,-121.84,812.0,721.0,198400.0,1,9.0,95136,San Jose,35078,76.3697318,3,0
11901,33.92,-117.36,1181.0,1107.0,315200.0,0,7.0,92506,Riverside,35060,82.77589946,3,0
