,City,City Latitude,City Longitude,Hospital
0,Hayward,37.63,-122.04,Bay Area Veterinary Specialists
1,Hayward,37.63,-122.04,Bishop Ranch Veterinary Center & Urgent Care
2,Hayward,37.63,-122.04,Groveway Veterinary Hosp
3,Hayward,37.63,-122.04,Alta Vista Veterinary Clinic
4,Hayward,37.63,-122.04,Arroyo Veterinary Clinic
5,Hayward,37.63,-122.04,Veterinary Medical Center
6,Hayward,37.63,-122.04,Groveway Veterinary Hospital
7,Hayward,37.63,-122.04,Hill's Veterinary Hospital
8,Hayward,37.63,-122.04,Pleasanton Veterinary Hospital
9,Hayward,37.63,-122.04,Haymont Veterinary Clinic
10,Hayward,37.63,-122.04,Amador Valley Veterinary Center
11,Hayward,37.63,-122.04,Veterinary Medical Specialists
12,Hayward,37.63,-122.04,Veterinary Orthopedic Surgery Services
13,Hayward,37.63,-122.04,Veterinary Internal Medicine Services
14,Hayward,37.63,-122.04,Mission Valley Veterinary Clinic
15,Hayward,37.63,-122.04,TriCity Veterinary Hospital
16,Hayward,37.63,-122.04,Chabot Veterinary Clinic
17,Hayward,37.63,-122.04,Canyon Veterinary Hospital
18,Hayward,37.63,-122.04,Central Veterinary
19,Hayward,37.63,-122.04,Central Veterinary Hospital
20,Hayward,37.63,-122.04,Blue Cross Veterinary Clinic
21,Hayward,37.63,-122.04,Parkway Veterinary Hospital
22,Hayward,37.63,-122.04,All Creatures Veterinary
23,Hayward,37.63,-122.04,Sage Centers For Veterinary Specialty
24,Hayward,37.63,-122.04,Ohlone Veterinary Emergency
25,Hayward,37.63,-122.04,Four Paws Veterinary Center
26,Hayward,37.63,-122.04,San Leandro Veterinary Hospital
27,Hayward,37.63,-122.04,Dublin Veterinary Hospital
28,Hayward,37.63,-122.04,Beacon Veterinary Specialists
29,Hayward,37.63,-122.04,"Robert J Tisdale D.V.M., Inc., Mission Veterinary Center"
30,Hayward,37.63,-122.04,Feline Veterinary Center
31,Hayward,37.63,-122.04,Good Samaritan Vet
32,Hayward,37.63,-122.04,Plaza Veterinary Hospital
33,Hayward,37.63,-122.04,San Ramon Vet Hospital
34,Huntington Park,33.97,-118.21,Veterinary Cancer Group
35,Huntington Park,33.97,-118.21,Veterinary Cancer Group of the South Bay
36,Huntington Park,33.97,-118.21,Huntington Park Veterinary Hospital
37,Huntington Park,33.97,-118.21,Casillas Veterinary Hospital
