,Zipcode,City,Lat,Lng,Population,Income,counts
47021,94005,Brisbane,37.68,-122.41,4345.0,109.44962120000001,11.0
47921,95608,Carmichael,38.62,-121.32,45450.0,70.92973172,10.0
45901,91902,Bonita,32.67,-117.01,14985.0,76.91631702,9.0
46495,92801,Anaheim,33.84,-117.95,45683.0,36.91343669,9.0
44655,90210,Beverly Hills,34.09,-118.41,16984.0,512.9534289,7.0
47002,94920,Belvedere Tiburon,37.89,-122.47,10900.0,378.586,7.0
47003,94920,Bel Tiburon,37.89,-122.47,10900.0,378.586,7.0
47004,94920,Belvedere,37.89,-122.47,10900.0,378.586,7.0
47005,94920,Tiburon,37.89,-122.47,10900.0,378.586,7.0
47975,93612,Clovis,36.81,-119.71,24053.0,37.91398155,6.0
47001,94002,Belmont,37.5,-122.3,23092.0,137.5374155,5.0
45577,93101,Santa Barbara,34.41,-119.7,21615.0,60.09853529,5.0
48715,95202,Stkn,37.95,-121.28,3036.0,23.465,4.0
47142,94022,Los Altos,37.36,-122.14,17620.0,499.8605456,4.0
46587,92630,Lake Forest,33.64,-117.67,50173.0,69.01020477,4.0
46588,92630,El Toro,33.64,-117.67,50173.0,69.01020477,4.0
47539,94536,Fremont,37.56,-121.98,55569.0,88.70371676,4.0
47143,94022,Los Altos Hills,37.36,-122.14,17620.0,499.8605456,4.0
46560,92625,Corona Dl Mar,33.6,-117.86,10985.0,309.7360182,4.0
44662,90220,Rncho Domingz,33.87,-118.24,34287.0,31.89828571,4.0
44661,90220,Rancho Dominguez,33.87,-118.24,34287.0,31.89828571,4.0
44660,90220,Crystal City,33.87,-118.24,34287.0,31.89828571,4.0
44659,90220,Compton,33.87,-118.24,34287.0,31.89828571,4.0
48714,95202,Stockton,37.95,-121.28,3036.0,23.465,4.0
46559,92625,Corona Del Mar,33.6,-117.86,10985.0,309.7360182,4.0
44648,90201,Bell,33.97,-118.15,67468.0,27.76684449,3.0
45107,91303,Woodland Hls,34.19,-118.6,17718.0,38.38646432,3.0
45106,91303,Woodland Hills,34.19,-118.6,17718.0,38.38646432,3.0
47096,95439,Fulton,38.49,-122.77,838.0,63.80666667,3.0
46561,92626,Costa Mesa,33.67,-117.9,37365.0,74.31895178,3.0
45019,93301,Bakersfield,35.38,-119.02,7620.0,57.29541833,3.0
47295,94130,San Francisco,37.81,-122.36,1387.0,33.03030303,3.0
47600,94559,Napa,38.23,-122.29,21017.0,63.02596226,3.0
47962,95610,Citrus Heights,38.69,-121.26,32886.0,45.71031589,3.0
47963,95610,Citrus Hts,38.69,-121.26,32886.0,45.71031589,3.0
48034,95624,Elk Grove,38.44,-121.3,48052.0,65.77470832,3.0
45105,91303,Canoga Park,34.19,-118.6,17718.0,38.38646432,3.0
44647,90201,Bell Gardens,33.97,-118.15,67468.0,27.76684449,3.0
44773,90027,Los Angeles,34.12,-118.28,33916.0,71.67493628,3.0
44649,90201,Cudahy,33.97,-118.15,67468.0,27.76684449,3.0
44774,90027,Hollywood,34.12,-118.28,33916.0,71.67493628,3.0
44775,90027,Los Feliz,34.12,-118.28,33916.0,71.67493628,3.0
47531,94533,Fairfield,38.28,-122.0,51145.0,48.32840873,2.0
45186,93433,Pismo Beach,35.12,-120.61,8974.0,51.14188482,2.0
45411,93550,Palmdale,34.52,-118.08,48104.0,32.92315531,2.0
45412,93550,Lake La,34.52,-118.08,48104.0,32.92315531,2.0
45413,93550,Lake Los Angeles,34.52,-118.08,48104.0,32.92315531,2.0
47404,94085,Sunnyvale,37.38,-122.01,16831.0,86.62355637,2.0
47568,94550,Livermore,37.68,-121.75,40153.0,108.5521624,2.0
47549,94541,Hayward,37.67,-122.08,44424.0,49.24736842,2.0
46065,91945,Lemon Grove,32.73,-117.03,19359.0,42.39343987,2.0
44681,90245,El Segundo,33.91,-118.4,15421.0,99.23609342,2.0
47507,94518,Concord,37.95,-122.02,21464.0,72.21569678,2.0
44872,90068,Hollywood,34.13,-118.33,15853.0,117.10946399999999,2.0
46170,92064,Poway,32.97,-117.02,40359.0,106.56885770000001,2.0
46040,92037,La Jolla,32.86,-117.24,30981.0,226.2559673,2.0
47451,94510,Benicia,38.11,-122.13,23802.0,88.72545192,2.0
47449,95003,Seascape,37.0,-121.87,18954.0,101.2437719,2.0
47448,95003,Seacliff,37.0,-121.87,18954.0,101.2437719,2.0
47447,95003,Rio Del Mar,37.0,-121.87,18954.0,101.2437719,2.0
47446,95003,Aptos,37.0,-121.87,18954.0,101.2437719,2.0
47443,94509,Antioch,37.99,-121.81,45524.0,46.91090377,2.0
47436,94501,Alameda Pt,37.77,-122.27,48387.0,76.52237988,2.0
47435,94501,Alameda,37.77,-122.27,48387.0,76.52237988,2.0
45185,93433,Grover Beach,35.12,-120.61,8974.0,51.14188482,2.0
46500,92804,Brookhurst Center,33.81,-117.97,61315.0,40.05796301,2.0
47968,95612,Clarksburg,38.37,-121.58,1189.0,92.05757576,2.0
46545,91708,Chino,34.02,-117.68,4617.0,71.33546512,2.0
46538,92823,Brea,33.92,-117.8,3045.0,103.56149429999999,2.0
45122,93013,Carpinteria,34.43,-119.52,12862.0,66.83247754,2.0
46499,92804,Anaheim,33.81,-117.97,61315.0,40.05796301,2.0
44871,90068,Los Angeles,34.13,-118.33,15853.0,117.10946399999999,2.0
44663,90221,Compton,33.87,-118.21,36005.0,28.53470061,2.0
46018,92346,Highland,34.13,-117.15,40992.0,57.58739785,2.0
44665,90221,East Rancho Dominguez,33.87,-118.21,36005.0,28.53470061,2.0
44664,90221,E Rncho Dmngz,33.87,-118.21,36005.0,28.53470061,2.0
44715,90004,Los Angeles,34.07,-118.31,41632.0,60.28622076,1.0
47053,95531,Northcrest,41.78,-124.16,14062.0,45.67774834,1.0
44757,90022,Commerce,34.02,-118.15,46198.0,28.76626687,1.0
47011,94924,Bolinas,37.94,-122.73,1151.0,73.85373134,1.0
44756,90022,Los Angeles,34.02,-118.15,46198.0,28.76626687,1.0
47048,94928,Rohnert Park,38.34,-122.7,30371.0,52.47468487,1.0
47049,94928,Cotati,38.34,-122.7,30371.0,52.47468487,1.0
47052,95531,Crescent City,41.78,-124.16,14062.0,45.67774834,1.0
47409,94089,Sunnyvale,37.42,-122.0,16628.0,81.2802595,1.0
44716,90004,Oakwood,34.07,-118.31,41632.0,60.28622076,1.0
47186,94040,Mountain View,37.38,-122.08,26205.0,146.2169632,1.0
47060,94015,Daly City,37.67,-122.47,49650.0,60.14492288,1.0
47061,94015,Broadmoor Vlg,37.67,-122.47,49650.0,60.14492288,1.0
47187,94040,Blossom Valley,37.38,-122.08,26205.0,146.2169632,1.0
47188,94040,Mt View,37.38,-122.08,26205.0,146.2169632,1.0
44735,90012,Federal,34.06,-118.24,13839.0,46.11540785,1.0
44734,90012,Los Angeles,34.06,-118.24,13839.0,46.11540785,1.0
44945,90274,Rllng Hls Est,33.77,-118.34,24008.0,270.48599839999997,1.0
47454,94702,Berkeley,37.86,-122.28,12254.0,67.09345029,1.0
47489,95008,Campbell,37.28,-121.95,36168.0,99.30408696,1.0
48605,95811,Sacramento,38.59,-121.49,3752.0,55.63296089,1.0
48512,96001,Keswick,40.6,-122.46,23744.0,59.47557879,1.0
48511,96001,Redding,40.6,-122.46,23744.0,59.47557879,1.0
48375,95660,N Highlands,38.66,-121.37,21675.0,32.20411718,1.0
48374,95660,North Highlands,38.66,-121.37,21675.0,32.20411718,1.0
48332,95350,Modesto,37.67,-121.01,36016.0,46.66106111,1.0
48269,95650,Loomis,38.81,-121.16,10909.0,100.2384868,1.0
48215,95323,Hickman,37.6,-120.68,1119.0,63.04074074,1.0
48084,93650,Frs,36.83,-119.79,2966.0,33.75029586,1.0
48083,93650,Pinedale,36.83,-119.79,2966.0,33.75029586,1.0
48082,93650,Fresno,36.83,-119.79,2966.0,33.75029586,1.0
48061,95630,White Rock,38.67,-121.14,53688.0,95.16039177,1.0
48060,95630,Pine Bluff,38.67,-121.14,53688.0,95.16039177,1.0
48059,95630,Mormon Island,38.67,-121.14,53688.0,95.16039177,1.0
48058,95630,Lake Natoma,38.67,-121.14,53688.0,95.16039177,1.0
48057,95630,Folsom,38.67,-121.14,53688.0,95.16039177,1.0
44656,90211,Beverly Hills,34.06,-118.38,8596.0,204.46998119999998,1.0
47961,93610,Sharon,37.07,-120.27,11048.0,48.81020067,1.0
47960,93610,Fairmead,37.07,-120.27,11048.0,48.81020067,1.0
47959,93610,Chowchilla,37.07,-120.27,11048.0,48.81020067,1.0
44672,90230,Culver City,33.99,-118.39,25528.0,76.80751114,1.0
47873,95301,Atwater,37.32,-120.63,25056.0,47.01315975,1.0
47721,95110,San Jose,37.34,-121.9,12621.0,65.34601156,1.0
47701,93901,Salinas,36.64,-121.62,19097.0,56.85959425,1.0
44673,90230,Los Angeles,33.99,-118.39,25528.0,76.80751114,1.0
47544,95020,Gilroy,37.06,-121.55,41952.0,72.77589704,1.0
44758,90022,East Los Angeles,34.02,-118.15,46198.0,28.76626687,1.0
47520,94525,Crockett,38.04,-122.23,2510.0,64.16506024,1.0
44807,90041,Los Angeles,34.13,-118.2,20920.0,62.49710258,1.0
44759,90022,Est Ls Angls,34.02,-118.15,46198.0,28.76626687,1.0
44944,90274,Pls Vrds Pnsl,33.77,-118.34,24008.0,270.48599839999997,1.0
45544,93401,Sn Luis Obisp,35.25,-120.62,19714.0,77.77704309,1.0
45543,93401,San Luis Obispo,35.25,-120.62,19714.0,77.77704309,1.0
45396,93030,Oxnard,34.19,-119.17,45834.0,41.38895304,1.0
45335,91605,N Hollywood,34.2,-118.39,39700.0,34.01289649,1.0
45334,91605,North Hollywood,34.2,-118.39,39700.0,34.01289649,1.0
45312,93442,Morro Bay,35.38,-120.78,7761.0,57.96118812,1.0
45137,91008,Bradbury,34.14,-117.96,879.0,183.1408163,1.0
45136,91008,Duarte,34.14,-117.96,879.0,183.1408163,1.0
44941,90274,Palos Verdes Peninsula,33.77,-118.34,24008.0,270.48599839999997,1.0
44942,90274,Palos Verdes Estates,33.77,-118.34,24008.0,270.48599839999997,1.0
44943,90274,Pls Vrds Est,33.77,-118.34,24008.0,270.48599839999997,1.0
45074,91501,Starlight Hills,34.19,-118.29,16002.0,66.93391572,1.0
45073,91501,Burbank,34.19,-118.29,16002.0,66.93391572,1.0
45028,93309,Bakersfield,35.34,-119.07,40902.0,53.76284569,1.0
45015,93422,Atascadero,35.45,-120.71,22551.0,66.74784866,1.0
45590,93110,Santa Barbara,34.43,-119.77,12594.0,110.4795007,1.0
45003,91006,Arcadia,34.13,-118.02,28021.0,104.6381843,1.0
45001,91001,Altadena,34.2,-118.13,28725.0,87.05952242,1.0
44999,91377,Agoura Hills,34.19,-118.76,12293.0,120.5917404,1.0
44998,91377,Oak Park,34.19,-118.76,12293.0,120.5917404,1.0
44995,91301,Saratoga Hls,34.12,-118.76,22555.0,132.1786002,1.0
44994,91301,Saratoga Hills,34.12,-118.76,22555.0,132.1786002,1.0
44993,91301,Oak Park,34.12,-118.76,22555.0,132.1786002,1.0
44992,91301,Cornell,34.12,-118.76,22555.0,132.1786002,1.0
44991,91301,Calabasas Hls,34.12,-118.76,22555.0,132.1786002,1.0
44990,91301,Calabasas Hills,34.12,-118.76,22555.0,132.1786002,1.0
44989,91301,Calabasas,34.12,-118.76,22555.0,132.1786002,1.0
44988,91301,Agoura,34.12,-118.76,22555.0,132.1786002,1.0
44987,91301,Agoura Hills,34.12,-118.76,22555.0,132.1786002,1.0
44947,90274,Rolling Hills Estates,33.77,-118.34,24008.0,270.48599839999997,1.0
44892,90077,Barrington,34.1,-118.45,7412.0,408.46034060000005,1.0
45591,93110,Goleta,34.43,-119.77,12594.0,110.4795007,1.0
44802,90039,Los Angeles,34.11,-118.26,22944.0,68.55986711,1.0
46095,92562,Murrieta Hot Springs,33.54,-117.33,45927.0,70.92309772,1.0
46574,92629,Monarch Beach,33.47,-117.7,22860.0,109.27175459999998,1.0
46573,92629,Monarch Bay,33.47,-117.7,22860.0,109.27175459999998,1.0
46572,92629,Dana Point,33.47,-117.7,22860.0,109.27175459999998,1.0
44803,90039,Griffith,34.11,-118.26,22944.0,68.55986711,1.0
44946,90274,Rolling Hills,33.77,-118.34,24008.0,270.48599839999997,1.0
44808,90041,Eagle Rock,34.13,-118.2,20920.0,62.49710258,1.0
46504,92806,Sunkist,33.83,-117.86,28271.0,48.7882287,1.0
46503,92806,Anaheim,33.83,-117.86,28271.0,48.7882287,1.0
46189,92503,Arlington,33.89,-117.44,61219.0,47.39622481,1.0
46188,92503,Riverside,33.89,-117.44,61219.0,47.39622481,1.0
46137,92210,Palm Desert,33.7,-116.33,3236.0,218.29166669999998,1.0
46136,92210,Indian Wells,33.7,-116.33,3236.0,218.29166669999998,1.0
46097,92563,Murrieta Hot Springs,33.57,-117.14,41578.0,61.11566952,1.0
46096,92563,Murrieta,33.57,-117.14,41578.0,61.11566952,1.0
46094,92562,Murrieta,33.54,-117.33,45927.0,70.92309772,1.0
45679,93458,Santa Maria,34.95,-120.5,35006.0,31.00846154,1.0
46058,91941,La Mesa,32.75,-116.99,35288.0,75.97738172,1.0
46023,92548,Homeland,33.75,-117.11,4175.0,33.50517241,1.0
46003,92336,Fontana,34.14,-117.45,66178.0,53.31555732,1.0
45990,92029,Escondido,33.08,-117.13,15470.0,95.73219178,1.0
45974,92020,El Cajon,32.79,-116.96,39637.0,51.21466942,1.0
45959,92014,Del Mar,32.96,-117.25,12635.0,223.97773219999996,1.0
45944,92313,Colton,34.03,-117.31,9454.0,54.85652952,1.0
45943,92313,Grand Terrace,34.03,-117.31,9454.0,54.85652952,1.0
45942,92236,Coachella,33.7,-116.17,28536.0,27.31464265,1.0
45933,91910,Chula Vista,32.63,-117.05,60383.0,49.83725654,1.0
