,City,City Latitude,City Longitude,Hospital
0,Norwalk,33.9,-118.07,North Orange County Emergency Pet Clinic
1,Norwalk,33.9,-118.07,Evening Pet Clinic
2,Norwalk,33.9,-118.07,Vetcare Pet Clinic
3,Norwalk,33.9,-118.07,Bloomfield Pet Clinic
4,Norwalk,33.9,-118.07,Southeast Pet Clinic
5,Norwalk,33.9,-118.07,Above &  Beyond Pet Clinic
6,Norwalk,33.9,-118.07,Petra Pet Clinic
7,Norwalk,33.9,-118.07,Fullerton Hills Pet Clinic
8,Norwalk,33.9,-118.07,City Line Pet Clinic
9,Norwalk,33.9,-118.07,Gentle Care Pet Clinic
11,Norwalk,33.9,-118.07,San Gabriel Valley Emergency Pet Clinic
12,Norwalk,33.9,-118.07,Emergency Pet Clinic of San Gabriel Valley
150,Pacoima,34.25,-118.41,Shadow Hills Pet Clinic
151,Pacoima,34.25,-118.41,Pacoima Pet Clinic
152,Pacoima,34.25,-118.41,Aloro Pet Clinic
153,Pacoima,34.25,-118.41,Best Care Pet Clinic
154,Pacoima,34.25,-118.41,Capri Plaza Pet Clinic
156,Pacoima,34.25,-118.41,Boulevard Pet Clinic
158,Pacoima,34.25,-118.41,Tarzana Pet Clinic
1150,Westminster,33.74,-117.99,Warner West Pet Clinic
1152,Westminster,33.74,-117.99,Andrew's Square Pet Clinic
1154,Westminster,33.74,-117.99,Puppy Amore Pet Clinic
1155,Westminster,33.74,-117.99,Mariners Mile Pet Clinic
1156,Westminster,33.74,-117.99,Adams Pet Clinic
1162,Westminster,33.74,-117.99,Newport Pet Clinic
1200,South Gate,33.94,-118.2,Family Pet Clinic of Redondo Beach
1201,South Gate,33.94,-118.2,Little Tokyo Pet Clinic
1203,South Gate,33.94,-118.2,Florence Pet Clinic
1206,South Gate,33.94,-118.2,Hollypark Pet Clinic
1208,South Gate,33.94,-118.2,Downtown Spay & Neuter Pet Clinic
1212,South Gate,33.94,-118.2,Ladera Pet Clinic
1453,Hawthorne,33.91,-118.34,AMG Pet Clinic And Resort
1454,Hawthorne,33.91,-118.34,L.A. Pet Clinic
1456,Hawthorne,33.91,-118.34,Emergency Pet Clinic Of Southbay
1458,Hawthorne,33.91,-118.34,PV Village Pet Clinic
1462,Hawthorne,33.91,-118.34,Olympic Pet Clinic
2351,Santa Ana,33.71,-117.9,Culver Pet Clinic
2354,Santa Ana,33.71,-117.9,Orange Canyon Pet Clinic
2650,Chula Vista,32.61,-117.03,The Pet Clinic
2651,Chula Vista,32.61,-117.03,Pet Clinic De Playas
2751,Long Beach,33.86,-118.18,Broadway Pet Clinic
3050,Fontana,34.08,-117.46,East Valley Emergency Pet Clinic
3406,Los Angeles,34.0,-118.25,Eagle Rock Emergency Pet Clinic
3413,Los Angeles,34.0,-118.25,Plaza Pet Clinic
4301,Anaheim,33.81,-117.97,Anaheim Hills Pet Clinic
4317,Anaheim,33.81,-117.97,Family Pet Clinic
4550,Simi Valley,34.25,-118.78,Townsgate Pet Clinic
4551,Simi Valley,34.25,-118.78,West Hills Pet Clinic
4552,Simi Valley,34.25,-118.78,Warner Center Pet Clinic
5550,Hayward,37.63,-122.04,Uni Pet Clinic
5551,Hayward,37.63,-122.04,Newark Pet Clinic
5552,Hayward,37.63,-122.04,Alisal Pet Clinic
6354,Reseda,34.2,-118.54,Woodland Hills Pet Clinic
6356,Reseda,34.2,-118.54,West Valley Pet Clinic
6550,Laguna Niguel,33.53,-117.7,Aliso Viejo Pet Clinic
6551,Laguna Niguel,33.53,-117.7,Jeronimo Pet Clinic
6650,South San Francisco,37.65,-122.42,Camino Real Pet Clinic
7407,La Habra,33.94,-117.95,Yorba Lake Pet Clinic
8150,San Jose,37.23,-121.82,Acacia Pet Clinic
8151,San Jose,37.23,-121.82,Curtner Pet Clinic
8153,San Jose,37.23,-121.82,Aborn Pet Clinic
8154,San Jose,37.23,-121.82,Lincoln Pet Clinic
8155,San Jose,37.23,-121.82,Campbell Pet Clinic
8250,San Diego,32.71,-117.05,Mission Valley Pet Clinic
8251,San Diego,32.71,-117.05,Rancho San Carlos Pet Clinic Inc.
8253,San Diego,32.71,-117.05,Bay Park Pet Clinic
8400,Sacramento,38.47,-121.44,Valley Hi Pet Clinic
8401,Sacramento,38.47,-121.44,"Abel Pet Clinic, Inc."
9900,Rancho Cucamonga,34.09,-117.58,Inland Valley Pet Clinic
9902,Rancho Cucamonga,34.09,-117.58,Euclid-Walnut Pet Clinic
10501,Los Angeles,34.07,-118.26,Parkview Pet Clinic
10506,Los Angeles,34.07,-118.26,La Cañada Pet Clinic
12402,Sunnyvale,37.35,-122.03,Silicon Valley Pet Clinic
12404,Sunnyvale,37.35,-122.03,ADAM Pet Clinic Breakroom
13152,Carson,33.82,-118.26,"Peninsula Pet Clinic, Inc"
13600,Carmichael,38.62,-121.32,Bird & Pet Clinic Of Roseville
13702,San Diego,32.73,-117.08,Clairemont Village Pet Clinic
14852,Hayward,37.67,-122.08,ABC Pet Clinic
15450,San Diego,32.96,-117.12,Peñasquitos Pet Clinic
15451,San Diego,32.96,-117.12,Black Mountain Road Pet Clinic
15560,Los Angeles,34.04,-118.34,Westside Pet Clinic
16500,San Pablo,37.98,-122.33,Evergreen Pet Clinic
16501,San Pablo,37.98,-122.33,Redwood Pet Clinic
16502,San Pablo,37.98,-122.33,Hercules Pet Clinic
16503,San Pablo,37.98,-122.33,Luv My Pet Clinic (at Petco)
16504,San Pablo,37.98,-122.33,Mill Valley Pet Clinic
17350,Oceanside,33.2,-117.29,College Pet Clinic
17450,Modesto,37.67,-120.95,American Pet Clinic
17503,Ontario,34.04,-117.67,TLC Pet Clinic
19501,Encinitas,33.05,-117.25,Nordahl Pet Clinic
21900,Tracy,37.73,-121.42,Community Pet Clinic
