,Zipcode,City,Lat,Lng,Population,counts
41223,96101,Alturas,41.43,-120.53,3969,0
47444,94531,Antioch,37.96,-121.76,31488,0
47443,94509,Antioch,37.99,-121.81,45524,0
47440,94508,Angwin,38.57,-122.44,2362,0
47439,95002,Alviso,37.44,-121.99,1749,0
47438,94507,Alamo,37.84,-121.97,14041,0
47437,94502,Alameda,37.73,-122.24,12235,0
47435,94501,Alameda,37.77,-122.27,48387,0
47432,94973,Woodacre,38.0,-122.64,1339,0
47431,95492,Windsor,38.53,-122.81,23814,0
47430,95573,Willow Creek,40.94,-123.65,1299,0
47429,95490,Willits,39.49,-123.36,9434,0
47426,95589,Whitethorn,40.07,-123.92,712,0
47424,95487,Vineburg,38.25,-122.45,470,0
47417,95485,Upper Lake,39.26,-122.96,1933,0
47416,95482,Ukiah,39.12,-123.28,21879,0
47414,95418,Calpella,39.15,-123.2,507,0
47412,95570,Trinidad,41.13,-124.04,1922,0
47410,95481,Talmage,39.12,-123.16,1221,0
47409,94089,Sunnyvale,37.42,-122.0,16628,0
47407,94088,Sunnyvale,37.39,-122.03,1427,0
47406,94087,Sunnyvale,37.35,-122.03,46300,0
47405,94086,Sunnyvale,37.36,-122.02,37637,0
47404,94085,Sunnyvale,37.38,-122.01,16831,0
47403,94970,Stinson Beach,37.91,-122.66,583,0
47397,94083,South San Francisco,37.64,-122.41,884,0
47445,95001,Aptos,36.97,-121.89,1526,0
47393,94080,South San Francisco,37.65,-122.42,53242,0
47446,95003,Aptos,37.0,-121.87,18954,0
47451,94510,Benicia,38.11,-122.13,23802,0
47498,93923,Carmel,36.46,-121.82,8358,0
47497,93922,Carmel,36.48,-121.74,1913,0
47494,93921,Carmel By The Sea,36.55,-121.92,4014,0
47493,95010,Capitola,36.97,-121.95,7918,0
47491,95011,Campbell,37.29,-121.95,1102,0
47490,95009,Campbell,37.28,-121.94,497,0
47489,95008,Campbell,37.28,-121.95,36168,0
47488,94515,Calistoga,38.62,-122.61,5845,0
47486,94514,Byron,37.85,-121.62,1729,0
47484,94505,Discovery Bay,37.86,-121.64,9925,0
47483,95007,Brookdale,37.1,-122.11,647,0
47482,94513,Brentwood,37.87,-121.68,42684,0
47480,95006,Boulder Creek,37.16,-122.15,7182,0
